ILCE,alan_metrekare,Nufus,Minibus_Durak_Sayisi,Rayli_Istasyon_Sayisi,Taksi_Durak_Sayisi,Ortalama_AQI,Yeni_Yapilacak_Yesil_Alan_GA_W1_1.0_W2_0.0,Toplam_Yesil_Alan_GA_W1_1.0_W2_0.0,Yeni_Yapilacak_Yesil_Alan_PSO_W1_1.0_W2_0.0,Toplam_Yesil_Alan_PSO_W1_1.0_W2_0.0,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.9_W2_0.1,Toplam_Yesil_Alan_GA_W1_0.9_W2_0.1,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.9_W2_0.1,Toplam_Yesil_Alan_PSO_W1_0.9_W2_0.1,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.8_W2_0.2,Toplam_Yesil_Alan_GA_W1_0.8_W2_0.2,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.8_W2_0.2,Toplam_Yesil_Alan_PSO_W1_0.8_W2_0.2,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.7_W2_0.3,Toplam_Yesil_Alan_GA_W1_0.7_W2_0.3,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.7_W2_0.3,Toplam_Yesil_Alan_PSO_W1_0.7_W2_0.3,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.6_W2_0.4,Toplam_Yesil_Alan_GA_W1_0.6_W2_0.4,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.6_W2_0.4,Toplam_Yesil_Alan_PSO_W1_0.6_W2_0.4,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.5_W2_0.5,Toplam_Yesil_Alan_GA_W1_0.5_W2_0.5,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.5_W2_0.5,Toplam_Yesil_Alan_PSO_W1_0.5_W2_0.5,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.4_W2_0.6,Toplam_Yesil_Alan_GA_W1_0.4_W2_0.6,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.4_W2_0.6,Toplam_Yesil_Alan_PSO_W1_0.4_W2_0.6,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.3_W2_0.7,Toplam_Yesil_Alan_GA_W1_0.3_W2_0.7,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.3_W2_0.7,Toplam_Yesil_Alan_PSO_W1_0.3_W2_0.7,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.2_W2_0.8,Toplam_Yesil_Alan_GA_W1_0.2_W2_0.8,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.2_W2_0.8,Toplam_Yesil_Alan_PSO_W1_0.2_W2_0.8,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.1_W2_0.9,Toplam_Yesil_Alan_GA_W1_0.1_W2_0.9,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.1_W2_0.9,Toplam_Yesil_Alan_PSO_W1_0.1_W2_0.9,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.0_W2_1.0,Toplam_Yesil_Alan_GA_W1_0.0_W2_1.0,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.0_W2_1.0,Toplam_Yesil_Alan_PSO_W1_0.0_W2_1.0
GAZİOSMANPAŞA,204094.60721775488,479931.0,180,8,7,37.04040519007512,100823.61394865563,304918.2211664105,102047.30360887744,306141.9108266323,101989.70401047768,306084.3112282326,102047.30360887744,306141.9108266323,101087.07934090437,305181.68655865925,0.0,204094.60721775488,101854.93283546861,305949.5400532235,102047.30360887744,306141.9108266323,101441.39358431917,305536.00080207404,102047.30360887744,306141.9108266323,101188.58561228194,305283.1928300368,0.0,204094.60721775488,101140.26626395894,305234.8734817138,102047.30360887744,306141.9108266323,102037.00004256034,306131.6072603152,0.0,204094.60721775488,101431.25244554394,305525.8596632988,0.0,204094.60721775488,99398.33584790824,303492.9430656631,102047.30360887744,306141.9108266323,65799.966819108,269894.5740368629,102047.30360887744,306141.9108266323
GÜNGÖREN,29380.789241699124,264831.0,144,6,7,36.609391184255955,14690.385453032039,44071.17469473116,14690.394620849562,44071.183862548685,14690.394620849562,44071.183862548685,14690.394620849562,44071.183862548685,14684.03424357394,44064.82348527307,14690.394620849562,44071.183862548685,14690.38636531568,44071.175607014804,14690.394620849562,44071.183862548685,14690.382085899913,44071.17132759903,14690.394620849562,44071.183862548685,14690.39460989973,44071.18385159885,14690.394620849562,44071.183862548685,14690.372372152302,44071.16161385142,14690.394620849562,44071.183862548685,14690.377325803693,44071.16656750282,14690.390390842742,44071.17963254187,14690.393122970743,44071.18236466987,14690.394620849562,44071.183862548685,14690.271611574175,44071.0608532733,14690.394620849562,44071.183862548685,14690.340676001957,44071.12991770108,14690.394620849562,44071.183862548685
KADIKÖY,860383.2664371255,462189.0,175,27,62,28.971953027020863,37399.29243304285,897782.5588701684,0.0,860383.2664371255,167042.75219773236,1027426.0186348578,0.0,860383.2664371255,134082.41833834667,994465.6847754722,0.0,860383.2664371255,158191.20365397888,1018574.4700911044,430191.63321856275,1290574.8996556883,37019.32179850509,897402.5882356307,314671.8171219213,1175055.0835590467,41727.504628570605,902110.7710656961,0.0,860383.2664371255,110439.45670040949,970822.723137535,430191.63321856275,1290574.8996556883,275608.29861195345,1135991.565049079,191341.11233889585,1051724.3787760213,76401.50687866239,936784.7733157879,385657.75268141634,1246041.0191185419,243878.51825713448,1104261.78469426,430191.63321856275,1290574.8996556883,239975.08824497793,1100358.3546821035,0.0,860383.2664371255
KARTAL,1406194.225819459,475859.0,266,9,29,36.235408116735066,195841.62295412068,1602035.8487735796,0.0,1406194.225819459,12528.400490117258,1418722.6263095762,0.0,1406194.225819459,39030.40777578087,1445224.6335952398,0.0,1406194.225819459,9622.077628154486,1415816.3034476135,0.0,1406194.225819459,47062.0593341194,1453256.2851535783,0.0,1406194.225819459,313389.7782654498,1719584.0040849089,0.0,1406194.225819459,38536.964587413946,1444731.190406873,0.0,1406194.225819459,1194.231622740227,1407388.457442199,0.0,1406194.225819459,141457.83905230754,1547652.0648717666,0.0,1406194.225819459,88360.96749333707,1494555.193312796,0.0,1406194.225819459,8958.670494757358,1415152.8963142163,0.0,1406194.225819459
KAĞITHANE,1598947.6567764024,444820.0,182,5,16,46.7515393386545,25964.51366437844,1624912.170440781,0.0,1598947.6567764024,6794.758352315275,1605742.4151287177,0.0,1598947.6567764024,42924.81775496701,1641872.4745313693,0.0,1598947.6567764024,63596.68569513167,1662544.3424715342,0.0,1598947.6567764024,21572.681693541388,1620520.3384699437,799473.8283882012,2398421.4851646037,135.70026212322833,1599083.3570385256,0.0,1598947.6567764024,253645.3267713613,1852592.9835477637,0.0,1598947.6567764024,91418.09092627747,1690365.7477026798,0.0,1598947.6567764024,8166.633556954002,1607114.2903333565,0.0,1598947.6567764024,46700.6745411204,1645648.3313175228,0.0,1598947.6567764024,315.7972037233067,1599263.4539801257,0.0,1598947.6567764024
KÜÇÜKÇEKMECE,1646774.3243354743,789033.0,312,18,14,65.46188902814174,163354.4573585969,1810128.7816940711,0.0,1646774.3243354743,268913.1421755805,1915687.466511055,823387.1621677371,2470161.4865032113,279253.3508454622,1926027.6751809365,0.0,1646774.3243354743,204545.8414517556,1851320.1657872298,0.0,1646774.3243354743,95011.8068889271,1741786.1312244013,0.0,1646774.3243354743,228625.52429179972,1875399.848627274,0.0,1646774.3243354743,462066.788778602,2108841.113114076,397201.60028605565,2043975.9246215299,137287.17783605173,1784061.502171526,101707.65357999069,1748481.977915465,304163.1650373844,1950937.4893728588,0.0,1646774.3243354743,226899.07360509617,1873673.3979405705,492272.1640124702,2139046.4883479443,210608.0160162962,1857382.3403517704,0.0,1646774.3243354743
MALTEPE,2130674.198635165,524921.0,228,10,12,36.235408116735066,36891.859427411844,2167566.058062577,0.0,2130674.198635165,1787.834727285916,2132462.033362451,0.0,2130674.198635165,287.4775094243792,2130961.6761445897,0.0,2130674.198635165,11831.68172942296,2142505.880364588,0.0,2130674.198635165,75752.75749774279,2206426.956132908,0.0,2130674.198635165,5892.76597434793,2136566.964609513,0.0,2130674.198635165,2203.960266270855,2132878.158901436,0.0,2130674.198635165,1182.8621721882012,2131857.0608073534,0.0,2130674.198635165,1475.389321140995,2132149.587956306,0.0,2130674.198635165,7358.331488621792,2138032.530123787,0.0,2130674.198635165,5724.404821590391,2136398.6034567556,0.0,2130674.198635165
PENDİK,2660127.4940079455,749356.0,396,17,18,36.235408116735066,1052.8176651883175,2661180.3116731336,0.0,2660127.4940079455,1905.3080485415617,2662032.802056487,0.0,2660127.4940079455,24469.581148701378,2684597.075156647,0.0,2660127.4940079455,17547.623711837547,2677675.117719783,0.0,2660127.4940079455,1919.9796403417963,2662047.4736482874,0.0,2660127.4940079455,30177.647712581642,2690305.1417205273,0.0,2660127.4940079455,2836.6272766690413,2662964.121284615,0.0,2660127.4940079455,7959.796958551631,2668087.2909664973,999999.7120562838,3660127.2060642294,45793.90395102411,2705921.3979589697,0.0,2660127.4940079455,9069.74795482729,2669197.241962773,0.0,2660127.4940079455,24799.591525617307,2684927.085533563,0.0,2660127.4940079455
SANCAKTEPE,851191.7589597908,502077.0,206,6,5,43.09060899260103,266038.52255446574,1117230.2815142565,0.0,851191.7589597908,224772.42378661915,1075964.18274641,0.0,851191.7589597908,175567.15161798103,1026758.9105777718,425595.8794798954,1276787.6384396863,244312.640686653,1095504.3996464438,0.0,851191.7589597908,217990.29000564807,1069182.048965439,425595.8794798954,1276787.6384396863,150858.56201405494,1002050.3209738458,0.0,851191.7589597908,233365.18783930287,1084556.9467990936,425595.8794798954,1276787.6384396863,135984.48570721463,987176.2446670055,0.0,851191.7589597908,190273.70595365102,1041465.4649134418,405907.1124130229,1257098.8713728138,54843.91035690062,906035.6693166915,425595.8794798954,1276787.6384396863,186909.3650128063,1038101.1239725971,425595.8794798954,1276787.6384396863
SARIYER,2743974.6658907183,342582.0,335,7,32,26.711909353905497,7078.781991950068,2751053.4478826686,0.0,2743974.6658907183,279.1619775028693,2744253.8278682213,0.0,2743974.6658907183,36.536251732347154,2744011.2021424505,0.0,2743974.6658907183,421.38509954016905,2744396.0509902583,0.0,2743974.6658907183,13102.096033183749,2757076.761923902,0.0,2743974.6658907183,11567.80072386693,2755542.4666145854,0.0,2743974.6658907183,25313.472558050125,2769288.1384487683,0.0,2743974.6658907183,7577.4905874801025,2751552.1564781982,0.0,2743974.6658907183,7492.736075662821,2751467.4019663814,0.0,2743974.6658907183,115.83536019890809,2744090.501250917,0.0,2743974.6658907183,17649.68951800919,2761624.3554087277,0.0,2743974.6658907183
SULTANBEYLİ,711311.9838774118,369193.0,147,2,5,43.09060899260103,152268.54985742996,863580.5337348417,355655.9919387059,1066967.9758161176,119883.10879044206,831195.0926678539,0.0,711311.9838774118,36231.151504003545,747543.1353814154,355655.9919387059,1066967.9758161176,26915.329473065118,738227.3133504769,0.0,711311.9838774118,146346.2567678578,857658.2406452696,0.0,711311.9838774118,108506.56155074674,819818.5454281586,0.0,711311.9838774118,119794.27795304504,831106.2618304568,259886.7788644139,971198.7627418258,84226.55877759038,795538.5426550022,106010.58893394412,817322.5728113559,87253.14178597982,798565.1256633917,0.0,711311.9838774118,121724.21711983903,833036.2009972509,0.0,711311.9838774118,96488.0308818722,807800.014759284,355655.9919387059,1066967.9758161176
SULTANGAZİ,560013.4265267146,532601.0,143,6,4,48.57816540477577,212685.0955641803,772698.5220908949,280006.7132633573,840020.1397900719,187778.77202607552,747792.1985527901,280006.7132633573,840020.1397900719,227220.96554667217,787234.3920733868,0.0,560013.4265267146,173248.44099272706,733261.8675194416,0.0,560013.4265267146,159457.48743951772,719470.9139662323,0.0,560013.4265267146,249856.11599703899,809869.5425237536,0.0,560013.4265267146,194890.62053284986,754904.0470595644,0.0,560013.4265267146,167076.44877064813,727089.8752973627,280006.6326371837,840020.0591638982,153363.73237230894,713377.1588990235,280006.7132633573,840020.1397900719,69138.38192117715,629151.8084478917,0.0,560013.4265267146,98918.38471024358,658931.8112369581,280006.7132633573,840020.1397900719
SİLİVRİ,4064999.079093968,232156.0,264,0,7,39.4643751422718,0.6635400071339823,4064999.742633975,0.0,4064999.079093968,4080.3797872024734,4069079.4588811705,0.0,4064999.079093968,17.5578067555917,4065016.6369007234,0.0,4064999.079093968,1007.5698699513381,4066006.6489639194,0.0,4064999.079093968,1367.2232876166138,4066366.3023815844,0.0,4064999.079093968,2028.387817630157,4067027.466911598,1000000.0,5064999.0790939685,4.436150963734857,4065003.515244932,0.0,4064999.079093968,21.63046660506528,4065020.709560573,0.0,4064999.079093968,2.835397300070606,4065001.914491268,0.0,4064999.079093968,31.611345676472737,4065030.6904396447,0.0,4064999.079093968,17.674826957668664,4065016.753920926,0.0,4064999.079093968
TUZLA,3153689.0698800897,301400.0,241,4,12,41.09867971773276,864.9207306269791,3154553.990610717,0.0,3153689.0698800897,7319.101516422355,3161008.171396512,0.0,3153689.0698800897,6063.400737633287,3159752.470617723,0.0,3153689.0698800897,4816.822832612511,3158505.892712702,0.0,3153689.0698800897,1057.3526760442737,3154746.422556134,0.0,3153689.0698800897,2.619480980182267,3153691.68936107,0.0,3153689.0698800897,47.4375145429999,3153736.507394633,0.0,3153689.0698800897,250.16083873530818,3153939.230718825,0.0,3153689.0698800897,7047.364227212705,3160736.434107302,0.0,3153689.0698800897,2421.57118533941,3156110.641065429,0.0,3153689.0698800897,4333.787792280347,3158022.85767237,0.0,3153689.0698800897
ZEYTİNBURNU,789642.239856637,278344.0,195,8,14,38.212086659064994,188972.39550734594,978614.6353639829,0.0,789642.239856637,39785.983875946295,829428.2237325832,198677.29628452173,988319.5361411587,153549.2291591158,943191.4690157528,0.0,789642.239856637,41112.79354415962,830755.0334007966,394821.1199283185,1184463.3597849554,34287.73213134582,823929.9719879827,0.0,789642.239856637,285070.04853881546,1074712.2883954523,0.0,789642.239856637,35373.8770798166,825016.1169364536,0.0,789642.239856637,75608.03940672669,865250.2792633637,0.0,789642.239856637,15.165808928101317,789657.405665565,0.0,789642.239856637,59408.20330683465,849050.4431634716,394731.6290842676,1184373.8689409045,157947.36509633512,947589.6049529721,0.0,789642.239856637
ÇATALCA,1088806.6011754582,80399.0,80,0,1,29.73571591167767,1403.4566952665891,1090210.0578707247,0.0,1088806.6011754582,565.9433254707133,1089372.5445009288,0.0,1088806.6011754582,2894.0867598346463,1091700.6879352927,0.0,1088806.6011754582,462.80000028314475,1089269.4011757413,0.0,1088806.6011754582,1647.693798100359,1090454.2949735585,0.0,1088806.6011754582,6.189125209515698,1088812.7903006678,0.0,1088806.6011754582,2529.0927788327667,1091335.6939542908,0.0,1088806.6011754582,5244.707407252702,1094051.3085827108,0.0,1088806.6011754582,915.8515349698713,1089722.452710428,0.0,1088806.6011754582,306.8439877868016,1089113.445163245,0.0,1088806.6011754582,1884.944173533564,1090691.5453489916,0.0,1088806.6011754582
ÇEKMEKÖY,545283.4216504643,306739.0,96,1,5,29.7875014280818,109882.52807699492,655165.9497274592,0.0,545283.4216504643,22592.45631487334,567875.8779653376,0.0,545283.4216504643,38052.44517675735,583335.8668272216,272641.71082523215,817925.1324756965,106418.49232485343,651701.9139753177,0.0,545283.4216504643,74781.69302675236,620065.1146772166,0.0,545283.4216504643,32051.504714935458,577334.9263653997,0.0,545283.4216504643,26722.711004930075,572006.1326553944,0.0,545283.4216504643,77122.67770712834,622406.0993575926,0.0,545283.4216504643,67025.92596466879,612309.347615133,272641.71082523215,817925.1324756965,72918.67061073262,618202.0922611969,0.0,545283.4216504643,56273.23052066443,601556.6521711288,272641.71082523215,817925.1324756965
ÜMRANİYE,1448077.7828947406,727819.0,389,20,11,29.7875014280818,145742.3207906496,1593820.1036853902,0.0,1448077.7828947406,99643.17210991296,1547720.9550046534,0.0,1448077.7828947406,160038.52831694696,1608116.3112116875,0.0,1448077.7828947406,255858.44030121918,1703936.2231959598,0.0,1448077.7828947406,76815.0039817924,1524892.786876533,0.0,1448077.7828947406,80349.75585829915,1528427.5387530397,0.0,1448077.7828947406,132604.52537403378,1580682.3082687743,0.0,1448077.7828947406,350601.8276141598,1798679.6105089004,0.0,1448077.7828947406,343644.6212521641,1791722.4041469046,0.0,1448077.7828947406,319260.1477177671,1767337.9306125077,0.0,1448077.7828947406,399435.51168284944,1847513.29457759,724038.8914473703,2172116.6743421108
ÜSKÜDAR,2357259.2624715716,512981.0,296,9,33,25.062542720437456,47.01478062380683,2357306.2772521954,0.0,2357259.2624715716,5166.943729138551,2362426.20620071,0.0,2357259.2624715716,14574.825915245427,2371834.088386817,0.0,2357259.2624715716,745.0867726167122,2358004.349244188,0.0,2357259.2624715716,1784.7598714115597,2359044.022342983,0.0,2357259.2624715716,371.17017110257166,2357630.432642674,0.0,2357259.2624715716,497.3769520074988,2357756.639423579,0.0,2357259.2624715716,19744.171549585964,2377003.4340211577,0.0,2357259.2624715716,5764.715506089332,2363023.977977661,0.0,2357259.2624715716,27200.94131652692,2384460.2037880984,0.0,2357259.2624715716,245.35760121076947,2357504.6200727825,0.0,2357259.2624715716
ŞİLE,347167.07496639347,48936.0,153,0,0,43.09060899260103,9075.164879562111,356242.23984595557,173583.53748319673,520750.61244959023,71270.12930244474,418437.2042688382,173583.53748319673,520750.61244959023,32483.781171066614,379650.8561374601,0.0,347167.07496639347,33773.51415446697,380940.58912086044,0.0,347167.07496639347,4683.034561535925,351850.1095279294,173583.53748319673,520750.61244959023,2873.651223556705,350040.7261899502,0.0,347167.07496639347,10953.46437361791,358120.53934001137,0.0,347167.07496639347,13978.80221716663,361145.8771835601,0.0,347167.07496639347,8128.385540854195,355295.46050724766,173583.53748319673,520750.61244959023,11559.026981447407,358726.1019478409,173583.53748319673,520750.61244959023,1400.961099065036,348568.0360654585,0.0,347167.07496639347
ŞİŞLİ,354780.26493224973,263063.0,68,9,33,28.04237867395762,58649.251275656155,413429.5162079059,0.0,354780.26493224973,118853.58869408403,473633.85362633376,177390.13246612487,532170.3973983746,36193.526386787315,390973.79131903703,177390.13246612487,532170.3973983746,58816.27621177686,413596.54114402656,0.0,354780.26493224973,57246.06203024152,412026.32696249126,0.0,354780.26493224973,35566.86549038371,390347.13042263343,0.0,354780.26493224973,24451.206891329315,379231.47182357905,177390.13246612487,532170.3973983746,93021.93035286435,447802.1952851141,0.0,354780.26493224973,84641.83603757872,439422.10096982843,0.0,354780.26493224973,44876.37388151046,399656.6388137602,177390.13246612487,532170.3973983746,158607.76895653014,513388.0338887799,0.0,354780.26493224973
